Timestamp,NAME,DEPARTMENT,FEEDBACK,SUMMARY,REVIEW
19/02/2025 21:01:25,Priya Ghosh,AIML,The content was informative but slightly outdated. Including recent advancements and emerging trends would make it more relevant. A comparison with newer technologies could provide better insights. Regularly updating materials would enhance learning.,"Informative, but outdated.",2
19/02/2025 21:01:54,Amit Joshi,IOT,"The trainer was knowledgeable, but the session lacked interaction. Encouraging audience participation and discussions would make it more engaging. Some segments felt like a one-way lecture. More Q&A opportunities would benefit learners.","Knowledgeable trainer, lacks interaction",2
19/02/2025 21:03:06,Pooja Nair,AIML,"The PowerPoint slides contained too much text, making them difficult to read. Using more visuals, charts, and bullet points would improve clarity. A more structured format with key takeaways would be beneficial. Reducing text density would make learning easier.","Text-heavy slides, needs visuals.",2
19/02/2025 21:03:34,Sandeep Verma,IOT,The course lacked practical applications and was mostly theoretical. Hands-on projects and real-life case studies would make the concepts more tangible. A live demonstration of concepts would enhance clarity. Practical exposure would be beneficial for better retention.,"Theoretical, needs practical applications.",2
19/02/2025 21:03:58,Nidhi Sen,IT,"The session covered a wide range of topics, but it lacked focus. Some sections felt rushed, while others were detailed. A more structured approach, emphasizing core topics first, would be helpful. Prioritizing key areas would improve learning efficiency.","Too many topics, lacks focus.",2
19/02/2025 21:04:18,Ravi Shankar	,CSE,"The instructor was knowledgeable but spoke too fast, making it hard to keep up. Pausing in between complex concepts would help absorption. Adding recap sections could reinforce learning. A slightly slower delivery would make it easier to follow.","Fast delivery, needs clarity.",2
19/02/2025 21:04:41,Ananya Pillai,AIML,"The training materials were helpful, but they were not well-organized. Navigating through the slides felt difficult. A more sequential arrangement of topics would help. Including a summary at the end of each section would be useful.","Helpful materials, but unorganized.",2
19/02/2025 21:05:10,Mohan Iyer,IOT,Some key concepts were covered too quickly. Allocating more time to complex topics would improve understanding. Having additional resources for deeper study would be beneficial. Slowing down and reinforcing core ideas would help retention.,"Complex topics rushed, needs more time.",2
19/02/2025 21:05:48,Shweta Das,IT,"The session lacked engagement, and it felt more like a lecture than an interactive workshop. Encouraging discussions and activities would make it more dynamic. More real-life case studies would add relevance. Interactive Q&A sessions would improve engagement.","Lacks engagement, needs interaction.",2
19/02/2025 21:08:50,Aditya Kapoor,CSE,"The session was too fast, making it difficult to grasp key concepts. A slower pace would help participants absorb information better. Breaking complex topics into smaller sections would be useful. More pauses for questions could improve understanding.","Too fast-paced, needs better pacing.",2
